Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Rich Beem,53.00,63.87,2011,286.10,61.95,29.81,52.89,72.76,78,,,-0.59,-1.28,-0.15,-0.26,-0.28,135225
Hunter Haas,96.00,63.76,2011,288.50,66.24,29.08,59.93,70.83,499,,3,0.36,0.28,-0.02,-0.14,0.07,1039987
Kevin Streelman,90.00,63.72,2011,289.20,65.62,29.24,60.50,70.54,600,,3,0.36,0.93,0.44,0.31,-0.17,1300006
Pat Perez,76.00,63.64,2011,291.40,65.42,28.84,58.35,70.83,716,,4,0.22,0.49,0.32,-0.05,0.00,1295253
Bill Haas,93.00,63.59,2011,296.60,69.44,29.53,58.30,70.14,1273,,6,0.17,0.92,0.63,0.04,0.08,4088637
Bo Van Pelt,92.00,63.59,2011,297.40,68.02,29.57,58.69,70.09,881,,3,-0.17,0.87,0.59,0.34,0.10,2344546
Spencer Levin,113.00,63.53,2011,286.30,67.99,29.34,60.35,69.85,1025,,4,0.04,0.85,0.10,0.51,0.20,2320038
Richard Johnson,64.00,63.46,2011,276.60,63.41,29.47,54.19,71.90,144,,,0.12,-1.04,-0.69,-0.34,-0.14,212106
Ben Martin,74.00,63.43,2011,289.50,64.76,29.34,52.93,71.42,242,,1,0.41,-0.28,0.07,-0.30,-0.45,340080
David Hearn,88.00,63.36,2011,290.90,68.82,29.51,59.47,70.71,362,,1,0.22,0.22,0.22,0.02,-0.23,869072
Chad Campbell,99.00,63.31,2011,291.10,71.13,30.12,57.54,70.27,591,,1,-0.37,0.56,0.08,0.99,-0.14,1104024
Justin Rose,79.00,63.27,2011,290.60,69.48,29.64,57.92,70.33,796,,3,0.05,0.98,0.19,0.51,0.24,3401420
Kevin Stadler,88.00,63.25,2011,293.20,68.06,29.71,52.39,71.30,414,,1,-0.43,-0.22,0.11,0.40,-0.30,768172
Kris Blanks,92.00,63.11,2011,284.90,68.89,29.70,57.94,70.95,641,,2,-0.44,0.15,-0.08,0.58,0.10,1350010
Ryan Moore,79.00,63.10,2011,290.10,62.89,28.47,60.08,70.35,883,,3,0.55,0.83,0.16,0.19,-0.07,1942906
Fabián Gómez,84.00,63.08,2011,288.40,65.20,29.43,52.10,71.64,208,,1,-0.12,-0.60,-0.19,-0.15,-0.15,381730
Lee Janzen,62.00,63.04,2011,290.10,63.10,28.95,54.84,71.53,168,,,0.17,-0.44,-0.40,-0.26,0.05,216993
Marc Turnesa,54.00,62.93,2011,282.80,65.60,29.69,52.80,71.53,175,,1,0.22,-0.37,-0.08,-0.09,-0.42,299405
Robert Allenby,84.00,62.91,2011,290.20,67.54,29.72,58.76,70.28,679,,3,-0.17,0.82,0.46,0.49,0.04,1452567
Geoff Ogilvy,69.00,62.89,2011,290.00,62.63,28.47,59.68,70.16,571,,3,0.52,0.72,0.02,0.03,0.16,1916994
Hunter Mahan,92.00,62.85,2011,291.60,68.79,29.21,58.00,69.91,1186,,7,0.53,1.22,0.37,0.07,0.25,3503540
Daniel Summerhays,75.00,62.83,2011,284.90,63.24,29.70,55.07,72.49,210,,,-0.29,-1.58,-0.72,-0.43,-0.13,301899
Steve Stricker,70.00,62.47,2011,288.80,66.02,27.96,64.93,69.36,1865,2,5,0.78,1.73,0.05,0.54,0.36,3992785
Greg Chalmers,88.00,62.42,2011,279.60,61.24,27.77,65.17,70.60,450,,2,0.64,0.42,-0.41,-0.06,0.25,832191
Carl Pettersson,95.00,62.29,2011,291.80,65.77,28.75,58.46,70.29,691,,4,0.49,0.77,0.11,0.15,0.03,1540723
Alexandre Rocha,65.00,62.23,2011,290.90,68.23,30.54,55.21,71.26,127,,,0.00,-0.38,-0.18,0.01,-0.20,225026
Y.E. Yang,63.00,62.23,2011,290.20,62.52,28.69,61.31,70.28,799,,4,0.27,0.27,0.15,-0.11,-0.04,2314865
Troy Merritt,63.00,62.04,2011,286.80,64.12,29.75,56.35,72.08,131,,,-0.33,-1.03,-0.18,-0.47,-0.05,151475
K.J. Choi,77.00,61.99,2011,285.60,65.93,29.17,60.87,69.99,1601,1,6,0.16,1.08,-0.07,0.69,0.30,4434691
Webb Simpson,98.00,61.93,2011,296.20,69.84,28.77,62.22,69.25,1861,1,7,0.27,1.76,0.48,0.76,0.26,6347353
