Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Henrik Stenson,60.00,75.19,2018,291.50,73.51,29.93,60.67,69.62,868,,5,-0.21,1.15,0.43,0.96,-0.03,2680487
Ryan Armour,109.00,73.58,2018,283.50,68.22,29.31,60.13,70.76,1006,1,3,-0.06,0.34,-0.01,0.21,0.19,2485203
Chez Reavie,93.00,72.24,2018,286.50,68.67,29.12,62.27,70.43,1020,,3,0.19,0.67,0.18,0.44,-0.14,2700018
Ryan Moore,78.00,71.94,2018,289.20,68.80,29.17,64.16,70.02,795,,5,-0.27,0.94,0.41,0.53,0.27,1986608
Brian Stuard,103.00,71.44,2018,278.90,67.12,29.11,59.23,71.04,421,,3,0.16,0.06,-0.23,0.10,0.03,1089763
Brian Gay,103.00,71.37,2018,282.90,64.52,28.25,63.26,70.28,880,,6,0.44,0.57,-0.17,0.04,0.25,2152501
Kyle Stanley,93.00,71.29,2018,295.70,71.09,29.89,54.80,70.40,1198,,5,0.04,0.69,0.38,0.30,-0.03,3916001
Emiliano Grillo,94.00,70.16,2018,295.20,68.84,29.04,61.05,70.15,901,,5,0.55,1.13,0.36,0.35,-0.12,2493163
Russell Henley,77.00,70.03,2018,293.00,68.77,29.80,54.33,70.49,569,,3,0.17,0.54,0.09,0.47,-0.19,1516438
Jim Furyk,50.00,69.91,2018,280.50,63.19,28.73,62.58,70.34,291,,2,0.39,0.41,-0.39,0.18,0.24,660010
Steve Wheatcroft,60.00,69.79,2018,288.90,66.57,29.29,61.03,71.63,138,,1,-0.13,-0.34,0.11,-0.07,-0.26,309656
Kevin Streelman,94.00,69.11,2018,295.10,71.56,29.67,60.93,70.44,673,,5,-0.25,0.62,0.44,0.42,0.01,1523642
C.T. Pan,104.00,68.98,2018,292.70,71.20,29.66,56.89,70.46,693,,1,-0.07,0.48,0.22,0.27,0.06,1881787
David Lingmerth,82.00,68.93,2018,285.40,63.03,28.50,58.57,71.04,274,,,0.23,-0.01,0.01,-0.16,-0.08,616758
Keegan Bradley,98.00,67.90,2018,299.60,69.18,29.68,56.78,70.30,872,,4,-0.36,0.79,0.24,0.89,0.03,4069464
Rafa Cabrera Bello,75.00,67.85,2018,295.10,70.16,29.47,57.98,69.89,784,,4,0.27,1.11,0.26,0.49,0.10,2449869
Billy Horschel,86.00,67.80,2018,295.40,71.75,29.46,58.03,70.15,960,1,3,0.39,1.11,0.54,0.35,-0.17,4315200
Russell Knox,94.00,67.70,2018,291.70,69.57,29.70,59.43,70.57,585,,3,-0.09,0.38,0.06,0.26,0.15,1424030
Ben Crane,65.00,67.52,2018,281.10,64.88,28.69,63.00,71.10,267,,1,0.33,0.18,-0.30,-0.04,0.18,620646
Vaughn Taylor,83.00,67.51,2018,286.10,67.02,29.15,59.91,70.69,445,,3,-0.08,0.22,-0.01,0.31,0.00,965691
Brian Harman,94.00,67.14,2018,291.90,67.59,29.29,56.95,70.54,1056,,8,0.27,0.29,0.14,-0.02,-0.10,2733463
Sam Ryder,82.00,66.91,2018,297.30,72.08,29.88,56.47,70.91,442,,3,-0.35,0.15,0.20,0.40,-0.10,1046166
"Ted Potter, Jr.",87.00,66.83,2018,286.00,63.03,28.45,57.51,71.02,744,1,1,0.07,-0.09,-0.07,-0.20,0.11,1976198
Austin Cook,107.00,66.76,2018,292.30,66.51,28.72,62.02,70.47,1060,1,3,0.32,0.57,0.12,-0.05,0.18,2448920
Tyler Duncan,97.00,66.74,2018,294.40,69.65,30.19,52.76,71.04,457,,2,-0.57,0.02,0.27,0.48,-0.17,944021
David Hearn,66.00,66.63,2018,285.10,68.89,29.58,55.65,71.33,315,,2,-0.13,-0.03,-0.17,0.38,-0.11,622383
Alex Cejka,77.00,66.49,2018,286.70,63.77,28.52,64.00,70.68,502,,2,0.01,0.31,-0.02,-0.17,0.50,1198541
Ian Poulter,73.00,66.41,2018,293.60,67.01,28.97,57.11,70.59,1030,1,4,0.22,0.85,0.14,0.44,0.05,2714450
Joel Dahmen,93.00,66.36,2018,295.80,68.82,29.26,63.31,70.58,676,,3,-0.28,0.40,0.30,0.38,0.00,1476838
Kevin Kisner,89.00,66.33,2018,290.80,65.38,28.91,60.29,70.73,971,,4,0.51,0.04,-0.04,-0.32,-0.12,2972285
J.J. Henry,81.00,66.22,2018,291.80,70.52,30.37,54.77,71.37,239,,1,-0.57,-0.19,0.17,0.34,-0.14,482052
J.J. Spaun,85.00,66.18,2018,298.20,69.48,29.63,55.76,70.53,849,,4,-0.15,0.29,0.29,0.41,-0.26,1978906
Justin Rose,70.00,66.02,2018,303.50,69.95,28.67,63.03,68.99,1991,2,8,0.42,1.95,0.55,0.53,0.45,8130678
Kelly Kraft,94.00,65.84,2018,288.60,63.83,28.92,58.93,71.33,627,,3,0.08,-0.32,-0.29,0.02,-0.13,1496253
Conrad Shindler,60.00,65.77,2018,291.30,66.27,29.14,60.00,71.47,92,,,-0.17,-0.31,0.11,-0.01,-0.25,187399
Scott Piercy,84.00,65.68,2018,296.60,69.72,29.86,55.96,70.74,802,1,2,-0.57,0.29,0.21,0.55,0.10,1882337
Adam Hadwin,92.00,65.60,2018,289.40,68.04,29.26,58.59,70.75,638,,3,0.11,0.60,0.06,0.17,0.27,1932488
Ben Silverman,90.00,65.56,2018,290.20,64.95,28.74,57.36,71.28,323,,2,0.24,-0.21,0.07,-0.39,-0.13,793140
Satoshi Kodaira,51.00,65.53,2018,293.60,60.30,29.88,51.02,72.18,600,1,1,-0.65,-1.83,0.03,-0.28,-0.93,1471462
Rickie Fowler,74.00,65.33,2018,299.80,69.52,28.99,63.05,69.44,1302,,4,0.30,1.28,0.24,0.49,0.24,4235237
Xinjun Zhang,81.00,65.33,2018,298.70,67.04,29.67,58.20,71.49,195,,1,-0.44,-0.73,0.14,-0.25,-0.18,420377
Kiradech Aphibarnrat,51.00,65.12,2018,294.70,62.20,28.93,55.59,70.63,,,,0.14,0.51,0.49,-0.25,0.14,
Pat Perez,82.00,65.09,2018,290.90,67.78,29.29,55.63,70.59,1116,1,4,0.12,-0.05,-0.06,-0.14,0.04,2962641
Lucas Glover,65.00,65.06,2018,297.70,67.12,29.64,59.83,71.07,324,,1,-0.19,0.28,0.51,-0.04,-0.01,789382
Richy Werenski,98.00,65.06,2018,291.80,66.97,29.36,56.49,71.19,498,,2,-0.11,-0.12,0.08,-0.17,0.08,1081283
Hunter Mahan,67.00,65.04,2018,296.90,68.96,29.02,58.81,71.14,234,,1,0.35,0.21,0.47,-0.15,-0.45,457337
Francesco Molinari,73.00,65.04,2018,301.00,70.24,29.63,58.67,69.80,1682,2,4,-0.49,1.12,0.69,0.59,0.33,5065842
Fabián Gómez,88.00,64.99,2018,291.10,67.86,29.38,58.85,71.02,221,,,0.00,-0.11,-0.06,-0.02,-0.03,437032
Tommy Fleetwood,73.00,64.98,2018,306.90,69.36,29.30,55.77,69.34,1130,,5,0.32,1.61,0.58,0.41,0.30,3935147
Graeme McDowell,67.00,64.92,2018,293.20,64.50,29.20,59.95,71.00,274,,1,0.48,0.70,0.12,0.05,0.05,581024
Louis Oosthuizen,62.00,64.81,2018,299.80,65.74,29.24,64.26,70.16,620,,3,-0.03,0.52,0.40,-0.26,0.41,1731493
Chad Campbell,87.00,64.70,2018,286.50,65.54,29.75,59.39,71.68,361,,2,-0.45,-0.48,-0.04,-0.01,0.02,801960
Blayne Barber,69.00,64.67,2018,294.70,69.98,29.66,57.46,70.84,202,,,-0.02,-0.04,0.10,-0.05,-0.07,398137
Michael Thompson,62.00,64.66,2018,296.40,70.11,29.62,55.77,70.92,280,,,0.50,0.05,-0.07,-0.42,0.05,563972
Chris Kirk,108.00,64.64,2018,289.80,68.24,28.90,63.53,70.41,756,,4,0.07,0.73,-0.05,0.52,0.19,1824111
Daniel Berger,81.00,64.58,2018,297.70,66.89,29.42,58.94,70.32,565,,1,0.32,0.82,0.10,0.54,-0.15,1721763
Hudson Swafford,73.00,64.57,2018,302.80,68.99,30.03,54.01,71.62,245,,,-0.26,-0.49,0.23,-0.24,-0.22,569391
Bronson Burgoon,69.00,64.53,2018,302.80,68.44,29.55,55.61,70.70,446,,2,0.11,0.48,0.31,0.37,-0.31,1179616
Brice Garnett,99.00,64.45,2018,296.70,66.78,29.34,58.63,71.02,634,1,2,-0.08,-0.31,0.19,-0.14,-0.28,1466224
Ryan Blaum,81.00,64.31,2018,289.00,66.10,29.13,55.46,70.99,433,,2,0.03,-0.03,0.01,-0.07,0.01,980877
Johnson Wagner,75.00,64.25,2018,286.10,67.87,28.65,65.41,70.76,338,,,0.62,0.72,-0.21,0.08,0.23,656322
Kevin Na,91.00,64.13,2018,289.60,64.66,28.07,63.62,70.29,1183,1,4,0.53,0.80,-0.38,0.27,0.37,3578316
Zach Johnson,94.00,63.88,2018,289.80,67.43,28.62,62.35,69.91,839,,2,0.21,1.04,-0.06,0.46,0.43,1957635
John Huh,94.00,63.83,2018,287.10,65.80,28.82,57.94,70.72,480,,2,0.17,0.25,-0.11,0.24,-0.05,974538
James Hahn,85.00,63.73,2018,298.70,68.29,29.50,59.62,70.90,596,,1,-0.15,0.28,0.32,0.08,0.03,1386301
Rod Pampling,62.00,63.69,2018,288.40,62.64,29.31,56.67,72.45,64,,,-0.42,-1.09,-0.10,-0.42,-0.16,183806
Gary Woodland,96.00,63.69,2018,313.50,70.51,29.93,54.45,70.16,1044,1,3,0.01,1.07,0.80,0.48,-0.23,3108907
Cameron Percy,56.00,63.66,2018,295.60,69.56,29.36,57.30,70.91,191,,2,-0.21,0.29,0.24,0.04,0.21,387612
Abraham Ancer,98.00,63.64,2018,296.10,66.49,28.91,62.69,70.66,589,,4,-0.06,0.32,0.33,0.07,-0.02,1676695
Ben Martin,64.00,63.52,2018,289.60,63.98,28.58,58.80,70.97,266,,1,0.12,0.00,-0.14,0.12,-0.10,532936
Branden Grace,67.00,63.49,2018,298.90,67.10,29.34,57.78,70.41,590,,2,0.35,0.81,0.16,0.17,0.13,1529289
Denny McCarthy,71.00,63.45,2018,295.40,68.17,29.41,59.83,70.86,267,,1,0.45,0.09,0.01,-0.35,-0.02,498341
Aaron Wise,90.00,63.33,2018,302.90,68.81,29.15,56.28,70.25,1086,1,3,0.24,0.70,0.41,0.01,0.04,3486407
Jason Dufner,71.00,63.30,2018,297.10,64.24,29.58,58.25,71.32,557,,2,-0.06,0.01,0.26,-0.01,-0.18,1497655
Matt Kuchar,88.00,63.27,2018,288.00,66.81,28.85,63.60,70.46,679,,4,0.35,0.58,-0.20,0.22,0.21,1720097
Martin Laird,73.00,63.22,2018,299.00,65.90,28.83,59.15,70.84,443,,3,0.28,0.47,-0.05,0.02,0.21,1017580
Roberto Díaz,72.00,63.20,2018,286.30,63.73,29.21,58.56,71.73,107,,,0.17,-0.83,-0.17,-0.60,-0.24,235635
Paul Casey,74.00,63.14,2018,304.30,67.84,29.07,60.58,69.85,1319,1,5,0.13,0.97,0.14,0.59,0.11,3641771
Corey Conners,97.00,62.99,2018,303.30,70.19,29.84,57.52,70.74,353,,1,-0.39,0.19,0.50,0.28,-0.20,728296
Kyle Thompson,50.00,62.99,2018,285.30,62.44,29.61,54.02,72.67,10,,,-0.75,-1.26,-0.53,0.04,-0.01,24878
Troy Merritt,89.00,62.93,2018,295.40,65.16,28.74,57.60,70.89,616,1,3,0.08,0.21,0.14,0.09,-0.09,1326989
Andrew Landry,82.00,62.92,2018,291.10,65.63,28.96,56.97,71.06,1116,1,5,-0.01,-0.04,0.21,-0.08,-0.15,2642179
Hideki Matsuyama,75.00,62.82,2018,302.00,69.29,29.21,60.80,70.02,607,,2,0.13,1.20,0.19,0.73,0.14,2687477
Brandt Snedeker,84.00,62.79,2018,293.10,65.04,28.63,60.08,70.38,1077,1,4,0.48,0.63,-0.15,-0.03,0.32,2448970
Zac Blair,64.00,62.76,2018,279.50,66.48,28.97,61.43,71.22,176,,,0.20,0.32,-0.35,0.07,0.39,330507
Danny Lee,88.00,62.65,2018,290.60,65.05,28.56,60.81,71.20,481,,3,0.16,0.06,0.01,-0.16,0.05,1269386
Charles Howell III,104.00,62.59,2018,300.90,69.33,29.50,60.87,70.22,885,,4,0.22,0.80,0.32,0.16,0.10,2179725
Adam Scott,78.00,62.51,2018,304.60,70.66,30.15,54.85,70.42,623,,2,-0.29,0.78,0.30,0.64,0.13,2237641
Tom Hoge,101.00,62.43,2018,291.40,63.62,28.45,61.41,70.95,594,,3,-0.16,0.07,0.02,0.30,-0.08,1358542
Webb Simpson,95.00,62.34,2018,293.70,67.93,28.47,66.10,69.29,1710,1,7,0.69,1.43,-0.12,0.49,0.37,5376417
Chris Stroud,81.00,62.24,2018,289.80,62.94,28.78,59.96,71.63,255,,1,0.05,-0.34,-0.28,-0.06,-0.06,565466
Bryson DeChambeau,93.00,62.23,2018,305.70,69.65,29.18,59.84,69.65,1617,1,7,0.35,1.56,0.59,0.56,0.07,8094489
Jonathan Randolph,71.00,62.18,2018,289.40,60.43,28.63,59.83,71.95,166,,1,0.12,-0.88,-0.27,-0.54,-0.18,453328
Rory Sabbatini,91.00,62.05,2018,292.30,67.85,29.07,61.36,70.69,521,,1,0.06,0.36,0.22,-0.15,0.23,1126057
Scott Brown,102.00,62.03,2018,292.60,65.65,29.10,54.79,71.33,422,,2,0.05,-0.66,-0.27,-0.27,-0.18,1076678
Tyrrell Hatton,58.00,61.84,2018,298.80,66.46,29.20,62.58,70.09,550,,4,0.34,0.94,0.15,0.20,0.25,1943360
Alex Noren,67.00,61.73,2018,299.20,64.91,28.97,61.74,69.97,989,,3,0.76,1.04,0.21,0.11,-0.03,2699150
Patrick Cantlay,87.00,61.58,2018,303.10,70.69,29.80,57.58,69.90,1388,1,6,-0.18,1.10,0.62,0.51,0.15,3963962
Jordan Spieth,81.00,61.55,2018,299.80,70.47,29.09,61.63,69.90,945,,5,-0.03,0.83,0.27,0.41,0.18,2793536
J.T. Poston,73.00,61.53,2018,300.70,68.31,29.07,57.53,70.92,448,,2,0.14,0.14,0.38,-0.37,-0.01,940661
Kevin Chappell,77.00,61.27,2018,308.60,66.52,29.64,56.28,70.84,597,,4,-0.34,0.32,0.61,0.30,-0.24,1608338
Shane Lowry,64.00,61.20,2018,300.70,68.65,30.04,53.48,70.75,296,,,-0.29,0.24,0.33,0.25,-0.05,696897
Patrick Rodgers,97.00,61.14,2018,303.50,65.65,29.10,57.22,70.73,541,,3,0.56,0.23,-0.04,-0.32,0.03,1287040
Whee Kim,93.00,61.11,2018,285.80,63.55,28.70,58.56,71.48,764,,3,0.43,-0.44,-0.75,0.03,-0.15,1920340
Nick Taylor,94.00,60.94,2018,292.70,67.65,29.48,61.83,71.27,420,,2,-0.31,-0.24,0.05,0.01,0.02,899373
Bud Cauley,55.00,60.81,2018,295.40,64.26,28.58,60.12,71.36,405,,2,0.37,0.46,-0.11,-0.03,0.24,900591
Si Woo Kim,108.00,60.68,2018,290.80,63.78,29.00,57.23,71.37,893,,5,-0.17,-0.09,-0.01,-0.20,0.29,2276114
Nate Lashley,51.00,60.58,2018,293.90,68.20,29.32,60.59,71.00,168,,,0.08,0.31,0.11,0.04,0.08,296650
Beau Hossler,104.00,60.47,2018,300.00,67.95,28.92,60.00,70.57,957,,5,0.69,0.58,0.28,-0.40,0.01,2449707
D.A. Points,63.00,60.47,2018,280.80,60.20,29.10,53.32,73.02,162,,1,0.11,-1.45,-1.07,-0.54,0.05,377265
Brendan Steele,74.00,60.47,2018,310.30,69.24,30.36,52.56,71.02,998,1,3,-0.58,0.03,0.56,0.24,-0.20,2291128
Nicholas Lindheim,77.00,60.44,2018,293.50,68.04,29.25,53.90,71.34,272,,1,0.36,-0.32,-0.26,-0.37,-0.05,593842
Andrew Putnam,97.00,60.42,2018,293.80,70.47,29.36,61.52,70.58,1026,1,5,0.05,0.47,-0.15,0.38,0.19,2387382
Jonas Blixt,67.00,60.30,2018,293.10,62.02,29.10,56.83,72.13,167,,,0.24,-0.55,-0.42,-0.56,0.20,368518
Ethan Tracy,72.00,60.25,2018,299.00,64.87,29.44,54.88,72.04,157,,,-0.03,-0.81,-0.05,-0.42,-0.31,364493
Byeong Hun An,86.00,60.19,2018,307.90,67.99,29.31,61.16,70.19,913,,4,-0.29,0.81,0.48,0.45,0.17,2599264
Marc Leishman,93.00,60.17,2018,298.50,66.67,28.94,59.07,70.26,1148,,6,0.13,0.62,-0.01,0.21,0.29,3771221
Sam Saunders,80.00,60.14,2018,302.80,65.02,28.73,55.79,70.79,420,,4,0.09,0.23,0.35,-0.08,-0.14,981936
Anirban Lahiri,82.00,60.09,2018,294.00,64.70,28.99,58.35,70.66,555,,4,0.20,0.10,0.07,-0.29,0.12,1441205
Sean O'Hair,67.00,60.09,2018,302.70,63.84,28.97,57.56,71.48,417,,2,-0.21,-0.23,0.21,-0.07,-0.16,1104865
Chesson Hadley,103.00,60.07,2018,300.00,67.68,28.99,56.60,70.31,1122,,7,0.21,0.86,0.15,0.61,-0.10,2768863
Mackenzie Hughes,80.00,60.04,2018,294.90,66.01,29.37,54.19,71.28,227,,1,-0.18,-0.01,-0.07,0.35,-0.12,518476
William McGirt,84.00,59.89,2018,289.30,67.59,29.28,62.86,70.79,449,,3,0.20,0.18,-0.31,0.09,0.19,933327
Xander Schauffele,96.00,59.77,2018,304.90,65.59,29.18,57.81,70.49,1081,,5,0.20,0.64,0.24,0.24,-0.03,4047538
Dustin Johnson,77.00,59.46,2018,314.00,70.57,28.47,62.50,68.70,2717,3,10,0.39,2.37,0.92,0.83,0.24,8457352
Matt Jones,70.00,59.38,2018,304.50,66.49,29.02,60.16,71.11,264,,,-0.03,0.10,0.33,-0.39,0.19,538681
Tiger Woods,68.00,59.35,2018,303.60,67.40,28.49,64.16,69.35,1162,,5,0.27,1.60,0.06,0.88,0.39,5443841
Billy Hurley III,70.00,59.24,2018,284.00,63.02,29.09,54.93,71.72,73,,,0.03,-0.70,-0.70,-0.17,0.14,145725
Jon Rahm,71.00,59.20,2018,308.90,70.12,29.14,57.18,69.96,1430,1,5,-0.15,0.89,0.82,0.05,0.18,3992678
Ryan Palmer,69.00,59.11,2018,305.20,65.61,28.92,55.38,71.03,500,,2,-0.53,-0.23,0.24,0.24,-0.17,1484445
Harold Varner III,91.00,59.02,2018,308.20,67.79,29.56,58.14,70.97,474,,3,-0.02,0.13,0.20,-0.08,0.02,1223064
Harris English,84.00,58.99,2018,302.40,63.32,28.76,57.86,71.16,383,,2,0.22,-0.18,-0.22,-0.30,0.11,799450
Greg Chalmers,56.00,58.90,2018,282.80,56.94,28.31,52.85,72.53,133,,1,0.79,-1.27,-0.69,-1.19,-0.17,288023
Stephan Jaeger,81.00,58.76,2018,299.20,67.11,29.61,56.76,71.36,211,,,-0.14,-0.09,0.05,-0.17,0.18,422260
Jonathan Byrd,70.00,58.59,2018,291.70,68.19,29.50,58.31,71.40,147,,,-0.11,-0.27,-0.54,0.04,0.34,267055
Keith Mitchell,99.00,58.59,2018,312.60,69.42,29.65,56.55,70.92,659,,4,-0.50,-0.02,0.71,-0.13,-0.09,1641260
Martin Piller,79.00,58.51,2018,292.20,60.39,28.52,57.74,71.93,371,,2,0.12,-1.13,-0.25,-0.81,-0.19,847304
Justin Thomas,91.00,58.41,2018,311.80,68.77,28.33,62.47,69.12,2634,3,8,0.27,1.84,0.41,0.84,0.31,8694821
Brett Stegmaier,67.00,58.38,2018,295.40,70.31,29.48,56.44,71.19,149,,,0.40,0.05,-0.14,0.08,-0.30,305607
Charley Hoffman,87.00,58.34,2018,299.50,66.53,29.19,56.22,70.52,515,,,0.03,0.43,0.25,0.22,-0.07,1400637
Jason Day,75.00,58.32,2018,310.00,65.28,28.24,62.35,69.60,1771,2,5,0.77,1.29,0.18,-0.14,0.48,5087461
Bubba Watson,90.00,58.27,2018,313.10,68.21,29.33,56.64,70.38,1879,3,5,0.00,0.56,0.78,0.01,-0.23,5793748
Jason Kokrak,99.00,58.06,2018,309.50,70.37,29.59,55.11,70.44,700,,4,0.02,0.54,0.36,0.26,-0.10,1794431
Jhonattan Vegas,92.00,57.91,2018,303.60,65.17,29.43,58.60,71.28,394,,1,-0.06,0.03,0.29,-0.08,-0.12,1137444
Adam Schenk,86.00,57.67,2018,305.50,67.92,29.95,54.55,71.37,239,,1,0.13,-0.15,0.07,-0.26,-0.09,474923
Stewart Cink,87.00,57.60,2018,298.10,68.58,29.53,55.69,70.44,758,,3,-0.35,0.47,0.06,0.70,0.06,1887208
Matt Atkins,56.00,57.50,2018,301.40,63.46,29.12,57.60,72.25,44,,,-0.20,-1.13,0.13,-1.04,-0.03,89104
Talor Gooch,78.00,57.31,2018,298.90,63.58,28.94,59.53,71.15,308,,,0.03,-0.16,-0.32,0.08,0.05,654200
Bill Haas,76.00,57.27,2018,296.20,64.79,29.23,60.34,71.03,262,,1,-0.06,0.08,-0.18,-0.05,0.37,638414
J.B. Holmes,77.00,57.13,2018,306.10,65.26,29.01,57.14,70.79,640,,3,-0.21,0.55,0.57,0.16,0.03,1595942
Cameron Smith,85.00,57.03,2018,298.40,63.18,28.36,61.12,70.52,821,,5,0.12,0.22,-0.15,0.03,0.22,3622607
Tyrone Van Aswegen,101.00,56.98,2018,290.30,65.23,28.98,58.08,71.24,364,,1,-0.01,-0.32,-0.49,-0.01,0.19,763584
Jamie Lovemark,92.00,56.92,2018,303.20,64.65,28.64,61.07,70.73,576,,3,0.01,0.39,-0.10,-0.04,0.52,1377286
Peter Malnati,87.00,56.86,2018,290.90,62.99,28.07,61.30,70.84,226,,,0.62,0.24,-0.37,-0.26,0.26,420001
Brooks Koepka,64.00,56.85,2018,313.40,68.28,28.76,63.28,69.44,2012,2,5,0.17,1.22,0.66,0.23,0.16,7094047
Sung Kang,89.00,56.72,2018,293.10,63.20,29.24,52.40,71.95,480,,2,-0.24,-1.04,-0.49,-0.09,-0.23,1243309
Scott Stallings,96.00,56.57,2018,299.70,65.62,29.14,60.86,70.72,470,,2,-0.07,0.27,-0.01,0.37,-0.03,1147573
Shawn Stefani,76.00,56.52,2018,299.60,67.49,29.27,58.43,71.19,268,,1,-0.03,0.11,-0.09,0.22,0.01,523204
Robert Garrigus,80.00,56.37,2018,307.90,65.28,29.20,56.84,71.46,353,,1,-0.57,-0.21,0.21,0.33,-0.19,702030
Nick Watney,94.00,56.33,2018,307.50,67.96,29.26,55.68,70.86,491,,1,0.20,0.34,0.17,0.14,-0.17,1402833
Rob Oppenheim,74.00,56.26,2018,285.20,64.05,28.91,59.55,71.53,148,,,0.05,-0.54,-0.66,0.03,0.05,279019
Grayson Murray,72.00,56.00,2018,307.30,62.50,28.94,54.32,72.09,438,,2,-0.35,-0.34,0.38,-0.35,-0.02,1056628
Rory McIlroy,64.00,55.79,2018,319.70,66.30,28.46,62.97,69.30,1154,1,5,0.06,1.41,0.76,0.27,0.32,4410296
Dominic Bozzelli,65.00,55.69,2018,297.00,60.94,28.18,58.86,71.18,190,,,0.31,-0.06,-0.24,-0.25,0.13,391634
Patton Kizzire,92.00,55.59,2018,298.70,69.04,29.53,55.24,70.84,1386,2,4,0.03,-0.03,-0.29,0.38,-0.15,3541151
Matt Every,79.00,55.50,2018,294.20,64.59,29.24,52.51,72.04,113,,1,-0.36,-1.14,-0.44,-0.02,-0.31,299162
Cody Gribble,71.00,55.45,2018,301.00,62.48,28.88,53.30,72.11,141,,,0.20,-0.82,-0.21,-0.70,-0.11,302593
Wesley Bryan,69.00,55.41,2018,280.40,61.28,28.10,60.17,71.55,219,,,0.36,-0.45,-1.44,0.22,0.41,498166
Lanto Griffin,80.00,55.27,2018,302.50,67.42,29.42,55.76,71.15,175,,,-0.10,-0.27,-0.05,-0.04,-0.08,358380
Retief Goosen,60.00,55.22,2018,296.20,61.75,29.12,56.98,71.41,261,,1,-0.41,-0.50,-0.39,0.39,-0.08,545364
Seamus Power,86.00,55.19,2018,302.60,65.17,28.68,63.80,70.87,377,,2,0.50,0.18,0.08,-0.39,0.00,791018
Charl Schwartzel,65.00,55.19,2018,299.50,61.11,28.74,57.88,71.35,528,,3,0.08,-0.20,-0.04,-0.17,-0.07,1710179
Patrick Reed,94.00,55.11,2018,298.10,63.57,28.33,62.94,70.11,1555,1,7,0.16,0.95,0.05,0.19,0.55,5006267
Tony Finau,105.00,55.09,2018,315.10,70.18,29.03,57.22,69.52,1509,,8,0.23,1.44,0.48,0.50,0.22,5620138
Trey Mullinax,75.00,54.94,2018,318.30,65.38,29.13,54.42,70.82,528,,3,0.07,-0.07,0.51,-0.44,-0.21,1184245
Martin Flores,92.00,54.92,2018,300.00,66.34,29.36,54.89,71.46,215,,,-0.29,-0.57,-0.10,-0.08,-0.10,449266
Michael Kim,74.00,54.89,2018,289.90,60.63,28.54,56.05,71.66,675,1,1,0.26,-1.00,-1.02,-0.21,-0.03,1379736
Brandon Harkins,101.00,54.79,2018,303.10,65.67,28.86,55.88,70.72,528,,3,0.23,0.28,0.18,-0.01,-0.12,1148115
Zecheng Dou,53.00,54.76,2018,291.90,63.72,30.00,51.56,72.77,21,,,-0.67,-1.20,-0.08,-0.27,-0.19,90993
Tom Lovelady,87.00,54.73,2018,315.90,67.08,29.56,52.08,71.25,332,,2,-0.05,-0.19,0.38,-0.24,-0.28,700783
Daniel Summerhays,51.00,54.69,2018,287.10,56.79,27.82,54.86,73.18,89,,1,0.74,-2.11,-0.98,-1.59,-0.28,234510
Luke List,98.00,54.66,2018,314.60,68.36,29.45,58.41,70.23,1080,,5,-0.47,0.87,0.80,0.19,0.35,2710736
Robert Streb,78.00,54.11,2018,292.60,64.94,29.51,52.89,71.91,155,,1,-0.08,-0.58,-0.68,0.10,0.08,411606
Andrew Yun,51.00,53.58,2018,290.60,61.85,30.20,44.01,73.62,16,,,-0.60,-1.94,-0.46,-0.45,-0.43,41566
Jimmy Walker,81.00,53.49,2018,299.00,61.90,28.34,59.09,70.79,719,,4,0.32,0.36,-0.44,0.30,0.17,2027312
Aaron Baddeley,84.00,53.27,2018,295.30,63.39,28.85,61.09,70.85,342,,1,-0.06,0.31,-0.35,0.12,0.60,725928
Derek Fathauer,84.00,53.27,2018,289.10,60.35,28.46,54.99,71.83,316,,1,0.36,-0.81,-0.76,-0.37,-0.05,708712
Peter Uihlein,83.00,52.93,2018,302.20,67.88,29.41,57.87,70.58,593,,4,0.02,0.27,0.13,-0.04,0.16,1797715
Phil Mickelson,90.00,52.91,2018,300.30,64.88,28.11,58.36,70.10,1546,1,6,0.51,0.93,-0.23,0.56,0.09,4595187
Kevin Tway,110.00,52.61,2018,310.10,66.88,29.15,56.77,70.80,577,,3,0.05,0.33,0.27,0.03,-0.03,1379544
Ollie Schniederjans,91.00,52.22,2018,301.40,62.77,28.44,56.95,70.64,573,,3,0.33,0.25,-0.41,0.09,0.25,1303610
Cameron Tringale,67.00,51.99,2018,289.30,65.52,29.81,55.24,72.15,88,,,-0.10,-1.02,-1.35,0.35,0.09,179459
Ricky Barnes,65.00,47.15,2018,290.60,63.75,28.25,57.40,71.66,164,,1,0.34,-0.37,-1.02,0.06,0.26,340591
Ryan Armour,63.00,72.73,2017,278.80,69.96,29.88,58.31,70.97,222,,1,-0.03,0.11,0.02,0.12,-0.01,443006
Boo Weekley,75.00,71.67,2017,289.90,68.65,30.29,56.31,71.48,173,,1,-0.95,-0.32,0.63,0.43,-0.43,416929
Brian Stuard,93.00,71.49,2017,272.30,63.59,28.92,57.99,71.72,285,,,-0.14,-0.34,-0.34,0.17,-0.16,588806
Jim Furyk,54.00,70.75,2017,270.10,65.72,29.36,61.03,71.07,232,,1,0.19,-0.02,-0.49,0.49,-0.04,558097
